query_id,brand,mention
25,RoboForm,0
26,1Password,1
26,Bitwarden,1
26,LastPass,0
26,Dashlane,1
26,Keeper,1
26,NordPass,0
26,RoboForm,0
27,1Password,1
27,Bitwarden,1
27,LastPass,1
27,Dashlane,1
27,Keeper,0
27,NordPass,0
27,RoboForm,0
28,1Password,1
28,Bitwarden,1
28,LastPass,0
28,Dashlane,0
28,Keeper,0
28,NordPass,0
28,RoboForm,0
29,1Password,1
29,Bitwarden,1
29,LastPass,1
29,Dashlane,1
29,Keeper,1
29,NordPass,1
29,RoboForm,0
30,1Password,1
30,Bitwarden,1
30,LastPass,0
30,Dashlane,0
30,Keeper,0
30,NordPass,0
30,RoboForm,0
31,1Password,1
31,Bitwarden,1
31,LastPass,1
31,Dashlane,1
31,Keeper,0
31,NordPass,1
31,RoboForm,1
32,1Password,1
32,Bitwarden,1
32,LastPass,1
32,Dashlane,0
32,Keeper,1
32,NordPass,0
32,RoboForm,0
33,1Password,1
33,Bitwarden,1
33,LastPass,1
33,Dashlane,1
33,Keeper,0
33,NordPass,1
33,RoboForm,0
34,1Password,1
34,Bitwarden,1
34,LastPass,1
34,Dashlane,1
34,Keeper,1
34,NordPass,1
34,RoboForm,0
35,1Password,1
35,Bitwarden,1
35,LastPass,1
35,Dashlane,0
35,Keeper,0
35,NordPass,0
35,RoboForm,0
36,1Password,1
36,Bitwarden,1
36,LastPass,1
36,Dashlane,1
36,Keeper,1
36,NordPass,0
36,RoboForm,0
37,1Password,1
37,Bitwarden,1
37,LastPass,1
37,Dashlane,0
37,Keeper,0
37,NordPass,0
37,RoboForm,0
38,1Password,1
38,Bitwarden,1
38,LastPass,0
38,Dashlane,0
38,Keeper,0
38,NordPass,0
38,RoboForm,0
39,1Password,1
39,Bitwarden,1
39,LastPass,1
39,Dashlane,1
39,Keeper,1
39,NordPass,0
39,RoboForm,0
40,1Password,1
40,Bitwarden,1
40,LastPass,1
40,Dashlane,1
40,Keeper,1
40,NordPass,1
40,RoboForm,0
41,1Password,1
41,Bitwarden,1
41,LastPass,1
41,Dashlane,1
41,Keeper,1
41,NordPass,0
41,RoboForm,0
42,1Password,1
42,Bitwarden,1
42,LastPass,1
42,Dashlane,0
42,Keeper,0
42,NordPass,0
42,RoboForm,0
43,1Password,1
43,Bitwarden,1
43,LastPass,1
43,Dashlane,1
43,Keeper,1
43,NordPass,0
43,RoboForm,0
44,1Password,1
44,Bitwarden,1
44,LastPass,1
44,Dashlane,1
44,Keeper,1
44,NordPass,0
44,RoboForm,0
45,1Password,1
45,Bitwarden,1
45,LastPass,1
45,Dashlane,1
45,Keeper,1
45,NordPass,1
45,RoboForm,0
46,1Password,1
46,Bitwarden,1
46,LastPass,1
46,Dashlane,1
46,Keeper,0
46,NordPass,0
46,RoboForm,0
47,1Password,1
47,Bitwarden,1
47,LastPass,1
47,Dashlane,1
47,Keeper,1
47,NordPass,1
47,RoboForm,1
48,1Password,1
48,Bitwarden,1
48,LastPass,1
48,Dashlane,1
48,Keeper,1
48,NordPass,0
48,RoboForm,0
49,1Password,1
49,Bitwarden,1
49,LastPass,1
49,Dashlane,1
49,Keeper,0
49,NordPass,0
49,RoboForm,0
50,1Password,1
50,Bitwarden,1
50,LastPass,1
50,Dashlane,1
50,Keeper,1
50,NordPass,1
50,RoboForm,0
51,1Password,1
51,Bitwarden,1
51,LastPass,1
51,Dashlane,1
51,Keeper,1
51,NordPass,0
51,RoboForm,0
52,1Password,1
52,Bitwarden,1
52,LastPass,0
52,Dashlane,0
52,Keeper,0
52,NordPass,0
52,RoboForm,0
53,1Password,1
53,Bitwarden,1
53,LastPass,1
53,Dashlane,1
53,Keeper,1
53,NordPass,0
53,RoboForm,0
54,1Password,1
54,Bitwarden,1
54,LastPass,1
54,Dashlane,0
54,Keeper,0
54,NordPass,0
54,RoboForm,0
55,1Password,1
55,Bitwarden,1
55,LastPass,1
55,Dashlane,1
55,Keeper,1
55,NordPass,1
55,RoboForm,0
56,1Password,1
56,Bitwarden,1
56,LastPass,1
56,Dashlane,1
56,Keeper,1
56,NordPass,0
56,RoboForm,0
57,1Password,1
57,Bitwarden,1
57,LastPass,1
57,Dashlane,1
57,Keeper,1
57,NordPass,0
57,RoboForm,0
58,1Password,1
58,Bitwarden,1
58,LastPass,1
58,Dashlane,1
58,Keeper,1
58,NordPass,1
58,RoboForm,0
59,1Password,1
59,Bitwarden,1
59,LastPass,1
59,Dashlane,1
59,Keeper,1
59,NordPass,0
59,RoboForm,0
60,1Password,1
60,Bitwarden,1
60,LastPass,1
60,Dashlane,1
60,Keeper,1
60,NordPass,1
60,RoboForm,0
